w1,18-05-02, US, The Guardian,0.084,-0.9774
w2,18-05-02, US, Slate Magazine,0.032,0.8779
w3,18-05-02, US, New York Post,0.066,0.8868
w4,18-05-02, US, The Guardian,0.057,0.9844
w5,18-05-02, US, Axios,0.058,0.5574
w6,18-05-02, US, KGO-TV,0.113,0.296
w7,18-05-02, US, PBS NewsHour,0.05,0.993
w8,18-05-02, US, New York Times,0.061,-0.8591
w13,18-05-02, GB, Government Europa,0.075,0.9983
w14,18-05-02, GB, BBC News,0.087,-0.9899
w15,18-05-02, GB, Isle of Wight County Press,0.045,0.9501
w17,18-05-02, GB, TechRadar,0.086,-0.0258
w18,18-05-02, GB, BT.com,0.067,0.9459
w19,18-05-02, IE, JOE,0.077,0.9696
w21,18-05-02, IE, TodayFM,0.08,0.7881
w23,18-05-02, IE, Siliconrepublic.com,0.051,0.9995
w26,18-05-02, AU, The Australian Financial Review,0.051,0.9974
w27,18-05-02, AU, ABC Online,0.053,0.8441
w28,18-05-02, AU, Human Capital,0.055,0.9973
w29,18-05-02, AU, SBS,0.074,-0.3737
w34,18-05-02, NZ, Yahoo News,0.054,0.9534
w37,18-05-02, IN, The Quint,0.102,-0.7003
w39,18-05-02, IN, India Today,0.129,-0.9977
w40,18-05-02, MY, The Edge Markets MY,0.109,-0.9858
w42,18-05-02, SG, YourStory.com,0.028,0.8047
w43,18-05-02, SG, Yahoo Singapore News,0.072,-0.9079
w44,18-05-02, SG, Janta Ka Reporter,0.104,-0.6319
w45,18-05-02, SG, The News Minute,0.031,0.9734
w46,18-05-02, SG, Catch News,0.053,-0.4404
w47,18-05-02, HK, Hong Kong Standard (press release),0.0,0.25
w48,18-05-02, ZA, HuffPost South Africa,0.031,0.9988
w49,18-05-02, ZA, HuffPost South Africa,0.08,0.999
w53,18-05-02, ZA, ITWeb,0.031,0.884
w54,18-05-02, NG, Wetinhappen Magazine (blog),0.117,-0.9098
w55,18-05-02, NG, Osun Defender (blog),0.036,0.998
w56,18-05-02, NG, Daily Post Nigeria,0.025,0.9696
w57,18-05-02, NG, CHANNELS TELEVISION,0.079,-0.8351
w58,18-05-02, NG, TODAY.NG,0.09,-0.9364
w59,18-05-02, GH, Myjoyonline.com,0.093,-0.9917
w62,18-05-02, KE, The Standard,0.112,-0.929
w63,18-05-01, MY, New Straits Times Online,0.055,0.738
w64,18-05-01, MY, Lowyat.NET (blog),0.02,0.7615
w65,18-05-01, SG, The News Minute,0.046,0.977
w66,18-04-30, US, Slate Magazine,0.039,0.7338
w69,18-04-30, IN, News18,0.113,-0.7003
w70,18-04-30, MY, The Edge Markets MY,0.091,-0.9377
w71,18-04-30, MY, New Straits Times Online,0.031,0.999
w72,18-04-30, SG, The News Minute,0.073,0.5174
w73,18-04-30, SG, The News Minute,0.053,0.8067
w74,18-04-30, SG, Catch News,0.042,-0.34
w77,18-04-30, NG, NEWSTAGE,0.052,0.966
w78,18-04-30, NG, NEWSTAGE,0.05,0.9517
w79,18-04-29, CA, London Free Press (Blogs) (blog),0.163,-0.9984
w81,18-04-29, AU, Brisbane Times,0.095,-0.9688
w83,18-04-29, MY, The Edge Markets MY,0.041,-0.0941
w84,18-04-28, GB, The National,0.098,0.9649
w88,18-04-28, IN, News18,0.095,-0.5859
w89,18-04-28, IN, Livemint,0.056,0.6198
w90,18-04-28, SG, The Sunday Guardian,0.065,0.9863
w91,18-04-28, GH, Pulse.com.gh,0.116,-0.9974
w92,18-04-27, US, New York Times,0.067,-0.6486
w93,18-04-27, US, Slate Magazine,0.072,0.9996
w94,18-04-27, US, PYMNTS.com,0.033,0.9995
w95,18-04-27, US, Business Insider,0.06,0.9994
w97,18-04-27, CA, CanIndia News,0.073,0.4446
w102,18-04-27, AU, The Australian Financial Review,0.038,0.9981
w103,18-04-27, IN, Daily Pioneer,0.023,0.7152
w105,18-04-27, IN, ETCIO.com,0.028,0.9976
w106,18-04-27, IN, The Indian Express,0.072,0.5216
w107,18-04-27, IN, ETtech.com,0.046,0.9893
w109,18-04-27, IN, Times Now,0.055,0.9157
w110,18-04-27, MY, The Edge Markets MY,0.075,0.3543
w111,18-04-27, MY, The Edge Markets MY,0.026,0.9682
w112,18-04-27, SG, YourStory.com,0.082,0.9904
w113,18-04-27, NG, NEWSTAGE,0.119,-0.9991
w114,18-04-26, US, The Mercury News,0.059,0.9978
w115,18-04-26, US, CNBC,0.032,0.9571
