tag_no,date,country,publication,neg_result
w404,18-03-17, MY, The Sun Daily,0
w407,18-03-17, US, The Guardian,0
w408,18-03-17, CA, National Post,0.069
w409,18-03-17, CA, Tolerance.ca,0.196
w410,18-03-17, GB, Varsity Online,0.027
w411,18-03-17, GB, BBC News,0.045
w412,18-03-17, GB, Daily Mail,0
w413,18-03-17, GB, Varsity Online,0.051
w414,18-03-17, AU, CNET,0.063
w415,18-03-17, AU, The Sydney Morning Herald,0.057
w416,18-03-17, AU, ABC Online,0
w417,18-03-17, IN, BloombergQuint,0.055
w418,18-03-17, IN, The Indian Express,0.073
w420,18-03-17, US, The Guardian,0.062
w421,18-03-17, US, Business Insider,0.062
w422,18-03-17, US, The Guardian,0.038
w423,18-03-17, US, Digital Trends,0
w424,18-03-17, US, New York Times,0.017
w425,18-03-17, US, The Guardian,0.067
w426,18-03-17, US, NBCNews.com,0.039
w434,18-03-17, US, New York Times,0.058
w435,18-03-17, US, The Guardian,0.05
w436,18-03-17, US, The Mercury News,0.069
w437,18-03-17, US, Slate Magazine,0.025
w439,18-03-17, US, Fast Company,0.094
w453,18-03-19, NG, Ripples Nigeria,0.089
w454,18-03-19, GH, Pulse.com.gh,0.087
w455,18-03-19, GH, Pulse.com.gh,0.108
w456,18-03-19, JM, Loop Jamaica,0.052
w465,18-03-19, MY, The Edge Markets MY,0.054
w466,18-03-19, MY, Malay Mail,0.06
w467,18-03-19, SG, Business Insider,0.061
w468,18-03-19, SG, Yahoo News,0.048
w469,18-03-19, SG, Nation News,0.072
w470,18-03-19, SG, Business Insider,0.07
w471,18-03-19, SG, The Straits Times,0
w472,18-03-19, ZA, Independent Online,0
w473,18-03-19, ZA, Independent Online,0.298
w475,18-03-19, NG, TODAY.NG,0.035
w476,18-03-19, NG, CHANNELS TELEVISION,0.027
w477,18-03-19, NG, SIGNAL (press release),0
w479,18-03-19, NZ, Stuff.co.nz,0
w480,18-03-19, IN, BloombergQuint,0.082
w481,18-03-19, IN, The Indian Express,0.061
w482,18-03-19, IN, Business Standard,0
w483,18-03-19, IN, Business Insider India,0.014
w484,18-03-19, IN, ANI News,0
w485,18-03-19, IN, BloombergQuint,0.096
w486,18-03-19, IN, Business Insider India,0.027
w487,18-03-19, IN, BloombergQuint,0.041
w488,18-03-19, IN, BloombergQuint,0.098
w489,18-03-19, IN, Scroll.in,0.018
w490,18-03-19, IN, The Citizen (press release),0.045
w492,18-03-19, PK, The Express Tribune,0.304
w494,18-03-19, MY, The Edge Markets MY,0.065
w497,18-03-19, GB, Yahoo Finance UK,0.084
w498,18-03-19, GB, BBC News,0.061
w499,18-03-19, IE, RTE.ie,0.061
w500,18-03-19, IE, Irish Examiner,0.083
w501,18-03-19, IE, thejournal.ie,0.096
w502,18-03-19, AU, NEWS.com.au,0.057
w503,18-03-19, AU, Crikey,0
w504,18-03-19, AU, AdNews,0.051
w505,18-03-19, AU, ShareCafe,0
w506,18-03-19, AU, ABC Online,0
w507,18-03-19, AU, The Sydney Morning Herald,0.071
w508,18-03-19, AU, The Queensland Times,0.095
w509,18-03-19, AU, ABC Online,0
w511,18-03-19, AU, SBS,0.067
w512,18-03-19, NZ, Stuff.co.nz,0
w513,18-03-19, US, WIRED,0.055
w514,18-03-19, US, NDTV,0.04
w515,18-03-19, US, The Guardian,0.041
w516,18-03-19, CA, CBC.ca,0.034
w517,18-03-19, CA, Globalnews.ca,0.127
w518,18-03-19, CA, Globalnews.ca,0.162
w519,18-03-19, CA, Macleans.ca,0
w520,18-03-19, CA, National Post,0.062
w521,18-03-19, CA, Philippine Canadian Inquirer,0
w522,18-03-19, CA, CTV News,0
w523,18-03-19, CA, CBC.ca,0.064
w524,18-03-19, GB, The Register,0.079
w525,18-03-19, GB, BBC News,0.068
w526,18-03-19, GB, The Register,0.074
w527,18-03-19, GB, IG,0
w528,18-03-19, GB, BBC News,0.068
w529,18-03-19, GB, Evening Standard,0.028
w531,18-03-19, US, VICE News,0.046
w532,18-03-19, US, Slate Magazine,0.025
w533,18-03-19, US, The Guardian,0.053
w534,18-03-19, US, Ars Technica,0.032
w535,18-03-19, US, The Guardian,0.078
w536,18-03-19, US, The INQUIRER,0.075
w537,18-03-19, US, Gizmodo,0.043
w538,18-03-19, US, Business Insider,0.052
w539,18-03-19, US, Slate Magazine,0.05
w559,18-03-19, US, New York Times,0.092
w560,18-03-19, US, Slate Magazine,0.053
w626,18-03-20, AU, Business Insider Australia,0.19
w624,18-03-20, AU, Business Insider Australia,0.16
w619,18-03-20, AU, The Sydney Morning Herald,0.12
w620,18-03-20, AU, AdNews,0.07
w617,18-03-20, AU, NEWS.com.au,0.06
w646,18-03-20, AU, Yahoo7 News,0.05
w622,18-03-20, AU, The Sydney Morning Herald,0.05
w629,18-03-20, AU, SBS,0.04
w621,18-03-20, AU, The Sydney Morning Herald,0.02
w618,18-03-20, AU, CNET,0.02
w614,18-03-20, AU, The Australian Financial Review,0.02
w613,18-03-20, AU, Nine,0
w615,18-03-20, AU, ABC Online (blog),0
w616,18-03-20, AU, Nine,0
w623,18-03-20, AU, Business Insider Australia,0
w625,18-03-20, AU, Nine,0
w627,18-03-20, AU, ABC Online,0
w628,18-03-20, AU, ABC Online,0
w571,18-03-20, BD, ... (satire) (press release) (blog),0
w802,18-03-20, CA, Toronto Star,0.33
w759,18-03-20, CA, Toronto Star,0.18
w798,18-03-20, CA, National Post,0.15
w799,18-03-20, CA, CBC.ca,0.1
w795,18-03-20, CA, BNN,0.1
w792,18-03-20, CA, National Post,0.09
w794,18-03-20, CA, National Post,0.09
w757,18-03-20, CA, The London Free Press,0.09
w760,18-03-20, CA, The Daily Courier,0.04
w801,18-03-20, CA, Canada NewsWire (press release),0.01
w756,18-03-20, CA, Toronto Star,0
w758,18-03-20, CA, Toronto Star,0
w793,18-03-20, CA, CTV News,0
w796,18-03-20, CA, CBC.ca,0
w797,18-03-20, CA, Toronto Star,0
w778,18-03-20, GB, The Register,0.1
w780,18-03-20, GB, BBC News,0.09
w765,18-03-20, GB, The Sun,0.08
w764,18-03-20, GB, Yahoo Finance UK,0.07
w774,18-03-20, GB, Economy,0.07
w766,18-03-20, GB, Metro Newspaper UK,0.06
w761,18-03-20, GB, The Register,0.06
w768,18-03-20, GB, Telegraph.co.uk,0.06
w772,18-03-20, GB, Evening Standard,0.06
w771,18-03-20, GB, Evening Standard,0.05
w773,18-03-20, GB, London Loves Business,0.05
w776,18-03-20, GB, Alphr,0.04
w769,18-03-20, GB, Evening Standard,0.04
w775,18-03-20, GB, BBC News,0.03
w770,18-03-20, GB, Evening Standard,0.02
w762,18-03-20, GB, Telegraph.co.uk,0
w763,18-03-20, GB, Metro,0
w767,18-03-20, GB, Kashmir Reader,0
w777,18-03-20, GB, City A.M.,0
w779,18-03-20, GB, Channel 4 News,0
w553,18-03-20, GH, Pulse.com.gh,0.05
w630,18-03-20, IE, Siliconrepublic.com,0.11
w640,18-03-20, IE, JOE,0.11
w634,18-03-20, IE, RTE.ie,0.07
w633,18-03-20, IE, Irish Examiner,0.06
w644,18-03-20, IE, JOE,0.06
w745,18-03-20, IE, RTE.ie,0.04
w641,18-03-20, IE, TodayFM,0.04
w743,18-03-20, IE, RTE.ie,0.03
w642,18-03-20, IE, Irish Examiner,0.03
w643,18-03-20, IE, Big Issue,0.01
w631,18-03-20, IE, thejournal.ie,0
w632,18-03-20, IE, Irish Times,0
w635,18-03-20, IE, Irish Times,0
w636,18-03-20, IE, The Parliament Magazine,0
w637,18-03-20, IE, PublicTechnology,0
w638,18-03-20, IE, Evening Echo Cork,0
w639,18-03-20, IE, Irish Times,0
w645,18-03-20, IE, PublicTechnology,0
w740,18-03-20, IE, BreakingNews.ie,0
w749,18-03-20, IE, BreakingNews.ie,0
w567,18-03-20, IN, Financial Express,0.4
w590,18-03-20, IN, Times of India,0.16
w596,18-03-20, IN, Telangana Today,0.13
w599,18-03-20, IN, News18,0.11
w561,18-03-20, IN, BloombergQuint,0.1
w595,18-03-20, IN, BloombergQuint,0.09
w591,18-03-20, IN, THE WEEK,0.09
w598,18-03-20, IN, Outlook India,0.08
w597,18-03-20, IN, Scroll.in,0.08
w563,18-03-20, IN, BloombergQuint,0.07
w565,18-03-20, IN, Business Today,0.06
w566,18-03-20, IN, BloombergQuint,0.05
w594,18-03-20, IN, BloombergQuint,0.04
w588,18-03-20, IN, BloombergQuint,0.04
w564,18-03-20, IN, BloombergQuint,0.02
w562,18-03-20, IN, Financial Express,0
w589,18-03-20, IN, Mumbai Mirror,0
w592,18-03-20, IN, Business Standard,0
w593,18-03-20, IN, Times of India,0
w557,18-03-20, KE, PulseLive Kenya (satire),0.08
w555,18-03-20, KE, The Standard,0.07
w556,18-03-20, KE, PulseLive Kenya (satire),0.06
w554,18-03-20, KE, Daily Nation,0
w558,18-03-20, KE, ZIPO.CO.KE,0
w568,18-03-20, LK, Newsfirst,0.09
w569,18-03-20, LK, The Sunday Times Sri Lanka,0.03
w578,18-03-20, MY, The Edge Markets MY,0.14
w575,18-03-20, MY, Malaysiakini,0.09
w577,18-03-20, MY, The Edge Markets MY,0.09
w572,18-03-20, MY, The Edge Markets MY,0.06
